skymap_id,tract,patch,ra,dec,forced_objects_count,meas_objects_count,gmag_psf_depth,rmag_psf_depth,imag_psf_depth,zmag_psf_depth,ymag_psf_depth
82780004,8278,4,29.13111919178312,-6.693624183883576,9277,9277,26.039555,25.31273,24.687767,24.316616,23.487312
82780005,8278,5,29.130832781836563,-6.5069741432585015,10587,10587,26.153515,25.362389,24.928276,24.481167,23.663078
82780006,8278,6,29.13054659072434,-6.320328064477827,11834,11834,26.22092,25.404604,24.988293,24.598166,23.718084
82780007,8278,7,29.13026061819576,-6.133689908552102,10471,10471,26.2723,25.418608,25.09506,24.550716,23.738922
82780008,8278,8,29.12997843458146,-5.949396374369286,12129,12129,26.274382,25.452854,25.03219,24.565134,23.589815
82780104,8278,104,28.945545069121703,-6.693870388265162,4239,4239,25.97649,25.290352,24.612305,24.204096,23.399084
82780105,8278,105,28.94532957451694,-6.507213419505304,8250,8250,26.119886,25.320154,24.786112,24.334072,23.542671
82780106,8278,106,28.945114244575162,-6.32056041309694,9594,9594,26.151123,25.373487,24.86005,24.44529,23.581192
82780107,8278,107,28.944899079107703,-6.133915330485593,10571,10571,26.20002,25.380337,24.954508,24.405151,23.56772
82780108,8278,108,28.944686764427804,-5.949614957550097,11600,11600,26.182146,25.369492,24.875885,24.405094,23.57712
82780205,8278,205,28.757466200250448,-6.507386818192204,4146,4146,26.008375,25.281324,24.592035,24.142092,23.300322
82780206,8278,206,28.757322642232996,-6.320728791466838,9473,9473,26.026663,25.292095,24.633474,24.177681,23.296366
82780207,8278,207,28.75717919387458,-6.134078689221238,8134,8134,26.037994,25.28474,24.774235,24.317545,23.452448
82780208,8278,208,28.757037646109417,-5.949773360374862,9031,9031,26.055075,25.310604,24.899199,24.369532,23.462528
82780306,8278,306,28.56952297009142,-6.320829821580269,1956,1956,25.813265,25.208605,,,
82780307,8278,307,28.56945124808469,-6.13417670746012,3833,3833,25.870752,25.25398,24.61926,24.21776,23.260735
82780308,8278,308,28.569380476347515,-5.949868404974453,5343,5343,25.839064,25.286222,24.710447,24.275732,23.313396
82790002,8279,2,30.625468602793877,-7.06692030460658,10824,10824,26.13737,25.41954,25.101202,24.15763,23.417173
82790003,8279,3,30.625181754425046,-6.88027422483798,13060,13060,26.175179,25.493053,25.22805,24.380205,23.523869
